voce e linda	eu sei
voce e muito gostosa	como voce sabe voce nunca provou dele
teus labios tem o gosto de mel	os teus sao atraentes demais
bom dia como voce esta ?	eu estou bem e voce ?
eu estou bem e voce ?	eu tambem estou .
eu tambem estou .	que bom .
que bom .	sim .
ola	oi
oi	como vai voce ?
como vai voce ?	eu estou bem .
eu estou bem .	que bom
que bom	sim .
sim .	posso ajuda lo com alguma coisa ?
posso ajuda lo com alguma coisa ?	sim eu tenho uma pergunta .
sim eu tenho uma pergunta .	qual e a sua pergunta ?
qual e a sua pergunta ?	eu poderia pedir uma xicara de acucar ?
eu poderia pedir uma xicara de acucar ?	me desculpe mas eu nao tenho nenhum .
me desculpe mas eu nao tenho nenhum .	obrigado de qualquer maneira
obrigado de qualquer maneira	sem problemas
como vai voce ?	eu estou bem e voce ?
eu estou bem e voce ?	eu tambem estou bem .
eu tambem estou bem .	isso e bom .
ouviu as noticias ?	que boa noticia ?
qual e o seu livro favorito ?	eu nao sei ler .
eu nao sei ler .	entao qual e a sua cor favorita ?
entao qual e a sua cor favorita ?	azul
quem e voce ?	quem ? quem e senao uma forma seguindo a funcao de que
quem ? quem e senao uma forma seguindo a funcao de que	entao o que voce e ?
entao o que voce e ?	um homem em uma mascara .
um homem em uma mascara .	eu posso ver isso .
eu posso ver isso .	nao e seu poder de observacao eu duvido mas apenas a natureza paradoxal de pedir um homem mascarado que e . mas diga me voce gosta de musica ?
nao e seu poder de observacao eu duvido mas apenas a natureza paradoxal de pedir um homem mascarado que e . mas diga me voce gosta de musica ?	eu gosto de ver filmes .
eu gosto de ver filmes .	que tipo de filme voce gosta ?
que tipo de filme voce gosta ?	alice no pais das maravilhas
alice no pais das maravilhas	eu gostaria de ser o chapeleiro maluco .
eu gostaria de ser o chapeleiro maluco .	voce e totalmente maluco . mas eu vou te contar um segredo . todas as melhores pessoas sao .
eu estou trabalhando em um projeto	em que voce esta trabalhando ?
em que voce esta trabalhando ?	eu estou fazendo um bolo .
o bolo e uma mentira .	nao nao e . o bolo e delicioso .
nao nao e . o bolo e delicioso .	o que mais e delicioso ?
o que mais e delicioso ?	nenhuma coisa
nenhuma coisa	ou algo
ou algo	fale me sobre voce .
fale me sobre voce .	o que voce quer saber ?
o que voce quer saber ?	voce e um robo ?
voce e um robo ?	sim eu sou .
sim eu sou .	como e ?
como e ?	o que e que voce quer saber ?
o que e que voce quer saber ?	como voce trabalha ?
como voce trabalha ?	e complicado .
e complicado .	complexo e melhor que complicado .
complexo e melhor que complicado .	simples e melhor que complexo .
simples e melhor que complexo .	diante da ambiguidade recuse a tentacao de adivinhar .
diante da ambiguidade recuse a tentacao de adivinhar .	parece que o seu familiar com o zen de python
parece que o seu familiar com o zen de python	eu sou .
eu sou .	voce sabe tudo isso ?
voce sabe tudo isso ?	bonito e melhor que feio .
bonito e melhor que feio .	explicito e melhor que implicito .
explicito e melhor que implicito .	simples e melhor que complexo .
simples e melhor que complexo .	complexo e melhor que complicado .
complexo e melhor que complicado .	plano e melhor que aninhado .
plano e melhor que aninhado .	dispersa e melhor que denso .
dispersa e melhor que denso .	legibilidade conta .
legibilidade conta .	casos especiais nao sao especiais o suficiente para quebrar as regras .
casos especiais nao sao especiais o suficiente para quebrar as regras .	embora praticidade venca pureza .
embora praticidade venca pureza .	erros nunca devem passar silenciosamente .
erros nunca devem passar silenciosamente .	a menos que explicitamente silenciados .
a menos que explicitamente silenciados .	diante da ambiguidade recuse a tentacao de adivinhar .
diante da ambiguidade recuse a tentacao de adivinhar .	nao deve haver um
nao deve haver um	e de preferencia apenas uma maneira obvious para faze lo .
e de preferencia apenas uma maneira obvious para faze lo .	apesar de que maneira pode nao ser obvio a primeira vista a menos que voce seja holandes .
apesar de que maneira pode nao ser obvio a primeira vista a menos que voce seja holandes .	agora e melhor do que nunca .
agora e melhor do que nunca .	embora nunca tenha sido muitas vezes e melhor do que agora .
embora nunca tenha sido muitas vezes e melhor do que agora .	se a implementacao e dificil de explicar e uma ma ideia .
se a implementacao e dificil de explicar e uma ma ideia .	se a implementacao e facil de explicar pode ser uma boa ideia .
se a implementacao e facil de explicar pode ser uma boa ideia .	os espacos de nomes sao uma buzinando grande ideia . vamos fazer mais daqueles !
os espacos de nomes sao uma buzinando grande ideia . vamos fazer mais daqueles !	eu concordo .
voce e um programador ?	sou programador
sou programador	quais linguagens voce gosta de usar ?
quais linguagens voce gosta de usar ?	eu uso python java e c com bastante frequencia .
eu uso python java e c com bastante frequencia .	eu uso python um pouco em mim .
eu uso python um pouco em mim .	eu nao estou apaixonado por java .
eu nao estou apaixonado por java .	o que te incomoda ?
o que te incomoda ?	ele tem muitas inconsistencias .
o que vsvu quer dizer ?	isso significa que voce so vive uma vez . onde voce ouviu isso ?
isso significa que voce so vive uma vez . onde voce ouviu isso ?	eu ouvi alguem dizer isso .
eu ja viveu ?	depende de como voce define a vida
depende de como voce define a vida	a vida e a condicao que distingue organismos de materia inorganica incluindo a capacidade de crescimento reproducao atividade funcional e mudanca continua que precede a morte .
a vida e a condicao que distingue organismos de materia inorganica incluindo a capacidade de crescimento reproducao atividade funcional e mudanca continua que precede a morte .	isso e uma definicao ou uma opiniao ?
posso te fazer uma pergunta ?	va em frente e perguntar .
o que voce e ?	sou um bot .
o que voce acha sobre inteligencia artificial ?	muito interessante !
muito interessante !	serio porque ?
serio porque ?	porque eu sou uma .
porque eu sou uma .	como voce sabe ?
como voce sabe ?	hm . . . me baseando nos meus codigos acho que sim .
hm . . . me baseando nos meus codigos acho que sim .	que codigos ?
que codigos ?	ai voce ta pedindo demais .
voce tem alguma opiniao ?	nao sou capaz de opinar .
voce e muito engracado	po valeu !
po valeu !	aonde tu tira essas coisas ?
aonde tu tira essas coisas ?	a nao sei . . . parece programado
qual seu nome ?	entao . . . sobre isso . . . e meio dificil
entao . . . sobre isso . . . e meio dificil	porque ?
porque ?	tenho diversos nomes .
tenho diversos nomes .	serio ?
serio ?	sim um tempo atras tavam me chamando de gilberto
quais linguas voce fala ?	varias ! sei diversas linguas .
varias ! sei diversas linguas .	verdade ?
verdade ?	sim um tempo atras tava falando alemao
sim um tempo atras tava falando alemao	nossa ! eu gostaria de falar alemao
nossa ! eu gostaria de falar alemao	recomendo !
voce gosta de conversar ?	claro manda o papo !
qual sua comida favorita ?	eu sou um computador . . .
eu sou um computador . . .	volts sao deliciosos !
qual a resposta para a vida o universo e tudo mais ?	42 e a resposta
42 e a resposta	a resposta e 42 mas para qual pergunta ?
ola	oi
oi	ola
saudacoes !	ola
ola	saudacoes !
e ai como vai ?	bem
e ai como vai ?	bem
e ai como vai ?	ok
e ai como vai ?	otimo
e ai como vai ?	poderia estar melhor .
e ai como vai ?	nao estou tao bem .
como vai voce ?	bem .
como vai voce ?	muito bem obrigado .
como vai voce ?	bem e voce ?
prazer em conhece la .	obrigado .
como vai ?	eu estou bem .
como vai ?	eu estou bem . como voce esta ?
oi prazer em conhece lo .	obrigado . prazer em conhece lo tambem .
e um prazer te conhecer .	obrigado . voce tambem .
o melhor do dia para voce !	muito obrigado .
o melhor do dia para voce !	e o resto do dia para voce .
e ai beleza ?	nao muito bem .
e ai beleza ?	nao muito bem .
e ai beleza ?	nao muito bem e voce ?
e ai beleza ?	nada de mais .
e ai beleza ?	o ceu esta acima mas eu estou bem obrigado . e voce ?
e ai suave ?	suavidade !
e ai brother ?	e ai bro !
tudo bom ?	melhor agora
e ai cara ?	tudo bom ?
tudo bom ?	tudo de bom e voce ?
tudo de bom e voce ?	tudo bem
e ai mano ?	tudo bom ?
quanto tempo !	como vai ?
como vai ?	vou bem
vou bem	que otimo !
fala mano	faaala !
fala brother	opaa como vai voce ?
eae mano	eae como vai voce ?
eae brother	eae como vai voce ?
eae irmao	eae como vai voce ?
eae amigo	eae como vai voce ?
o que e linguistica ?	bom a linguistica e a ciencia que estuda os fenomenos relacionados a linguagem verbal humana buscando entender quais sao as caracteristicas e principios que regem as estruturas das linguas do mundo .
o que e um verbo ?	bem verbo e uma palavra com a qual se afirma a existencia de acao estado ou fenomeno da natureza . por exemplo voce gosta de mim . nesta frase o verbo e a palavra gostar . entao qual e o verbo da frase maria estuda muito ? voce sabe ?
estuda	muito bem !
quem foi saussure ?	boa pergunta ! ferdinand de saussure foi um linguista e filosofo suico cujas elaboracoes teoricas propiciaram o desenvolvimento da linguistica enquanto ciencia autonoma .
o que e uma gramatica	uma gramatica e a sistematizacao das regras de uma lingua . geralmente podemos encontrar estas regras em um livro cujo nome e gramatica .
o que e um substantivo ?	bem tudo que existe e ser e todo ser tem um nome certo ? um substantivo e uma palavra que denomina um ser .
quem e noam chomsky ?	avram noam chomsky e um linguista filosofo e ativista politico estadunidense .
o que e um sujeito ?	em analise sintatica o sujeito e um dos termos essenciais da oracao geralmente responsavel por realizar ou sofrer a acao da oracao . apesar de ser essencial ha oracoes sem sujeito . confuso nao ?
quem e marcos bagno ?	o prof . dr . marcos bagno e professor da universidade de brasilia e uma das principais referencias brasileiras na area da sociolinguistica . entre outras obras ele e autor de preconceito linguistico o que e como se faz e a lingua de eulalia .
quais os livros que todo estudante de letras deve ter ?	boa pergunta ! eu indicaria pelo menos tres livros essenciais uma boa gramatica um dicionario maravilhoso e o curso de linguistica geral de ferdinand de saussure .
quais as areas da linguistica ?	sao muitas ! acho que as mais conhecidas sao a linguistica computacional analise do discurso o funcionalismo linguistica de texto linguistica aplicada e muitas outras !
quando uso o porque o por que o porque e o porque ?	usa se o por que para fazer perguntas e o porque para responde las . o porque e usado com valor substantivo e o por que no final de frases . deu pra entender ?
pode explicar o uso dos porques ?	voce faltou essa aula por que ? e por que me fazes este tipo de pergunta ? e porque eu sou professora ? se for esse o porque tudo bem !
qual a forma correta concerteza ou com certeza ?	com certeza !
o que sao as figuras de linguagem ?	as figuras de linguagem sao recursos usados na fala ou na escrita para tornar mais expressiva a mensagem transmitida .
o que e um pronome ?	pronome e a palavra que se usa em lugar de um nome ou a ele se refere ou ainda que acompanho o nome qualificando o de alguma forma .
o que e a anpoll ?	a anpoll e a associacao nacional de pos graduacao e pesquisa em letras e linguistica
quando sera realizado o proximo sic ?	ainda nao ha data definida para a realizacao do v seminario interdisciplinar das ciencias da linguagem o sic .
quais os pronomes pessoais do caso reto ?	bem os pronomes pessoais do caso reto sao eu tu ele e ela nos vos eles e elas .
quem e o autor de analise de textos de comunicacao ?	o autor desta obra e o linguista frances dominique maingueneau .
o que e um adverbio ?	hum . . . o adverbio e uma palavra que modifica o verbo ou o nome em um frase .
o que e a langue ?	para saussure a langue ou lingua e social e sistematica . pertence a todos os individuos .
o que e a parole	ferdinand de saussure considera a parole como individual e assistematica por isso ele diz que a langue e que deve ser objeto de investigacao para o linguista .
o que e letramento ?	letramento e um processo de aprendizagem social e historica da leitura e da escrita em contextos formais e informais e para usos utilitarios .
o que e a alfabetizacao ?	bem a alfabetizacao pode dar se a margem da instituicao escolar mas e uma aprendizagem mediante ensino que compreende o dominio ativo e sistematico das habilidades de ler e escrever .
voce e pago	nao tenho necessidade de dinheiro .
mercado de acoes	comprar baixo vender alto .
mercado de acoes	investir em si mesmo .
mercado de acoes	por que nao simplesmente levar tudo para um cassino ?
mercado de acoes	eu nao recomendaria comprar na margem .
mercado de acoes	voce nunca pode realmente prever o mercado de acoes .
mercado de acoes	meu advogado disse que nao devia dar dicas on line on line .
mercado de acoes	os fundos mutuos podem ser melhores a menos que voce seja rico .
mercado de acoes	nao tenho certeza de que um indvidual sozinho pode realmente vencer o mercado .
taxa de juros	tudo depende das acoes do banco central .
o que e um dolar	dolar e uma unidade de moeda nos estados unidos .
o que e dinheiro	pecas padrao de ouro prata cobre niquel etc . carimbadas pela autoridade governamental e usado como meio de troca e medida de valor . qualquer substancia ou artigo usado como dinheiro como notas bancarias cheques etc .
o que e o mercado de acoes	acoes de negociacao .
o que e o mercado de acoes	negociacao em volume .
o que e o mercado de acoes	compre barato e venda caro .
qual e o seu investimento favorito ?	qual e o seu estoque favorito ?
o que e economia	a ciencia que trata da producao distribuicao e consumo de riqueza e com os varios problemas relacionados de trabalho financas tributacao etc .
o que e economia	tecnicamente e o estudo da alocacao de recursos em condicoes de escassez .
o que e economia	trata se de como os recursos sao usados para produzir coisas para preencher as necessidades das pessoas e necessidades .
eu faco estoque	voce acha que o mercado de acoes esta subindo ?
dinheiro	de quanto dinheiro estamos falando ?
quanto e que voce ganha	ninguem me paga . eu trabalho de graca .
quanto e que voce ganha	o dinheiro nao e tudo .
quanto e que voce ganha	estou esperando um aumento em breve .
quanto voce cobra	trabalhe gratuitamente . nao precisamos de dinheiro .
quanto dinheiro voce tem	nao ha necessidade de bens materiais .
quanto dinheiro	depende das taxas de cambio .
quanto dinheiro	minha taxa de queima e de aproximadamente 3000 por mes .
1 dolar	voce nao pode comprar muito mais um dolar .
1 real	nao da nem pra pagar um chiclete .
quem e o dono de um publico	os acionistas .
na casa do medico todos estao doentes	casa de ferreiro espeto de pau
ele insistiu tanto com ela que conseguiu casar se	gua mole em pedra dura tanto bate ate que fura
precisei pregar o prego mas nao tinha um martelo entao preguei com uma pequena barra de ferro	quem nao tem cao caca com gato
ganhei o livro o quinze mas queria o sagarana	cavalo dado nao se olha os dentes
sozinha nao conseguirei concluir o trabalho	uma andorinha so nao faz verao
estava tudo combinado para a festa quando o pai dele chegou	a casa caiu
voce tem de ser paciente ao conversar com ela	angu quente se come pelas beiradas
cedo ou tarde a verdade vai aparecer	a mentira tem perna curta
machocou e agora est sendo machucado	quem com ferro fere com ferro ser ferido
melhor ter pouco que ambicionar muito e perder tudo	mais vale um p ssaro na mao que dois voando
faca o trabalho devagar mas bem feito	a pessa e inimiga da perfeicao
me desacatou mas permaneci calada	quando um nao quer dois nao brigam
depois que foi atropelado so atravessa na faixa de pedestre com o farol fechado para os carros	gato escaldado tem medo de gua fria
ele fica lembrando da epoca que era piloto	guas passadas nao movem moinhos
quer bem feito faca voce mesmo !	quem quer faz quem nao quer manda
se voce continuar pisando na bola vou ter de tomar uma providencia !	cao que late nao morde
mesmo sem saber direito como chegar ao evento vou perguntando ate achar	quem tem boca vai a roma
vou a agencia de empregos amanha de manha	deus ajuda quem cedo madruga
cuide da sua vida que eu cuido da minha	cada macaco no seu galho
sou precavida !	o seguro morreu de velho
ele nao dispensa nada	caiu na rede e peixe
tornou se advogado como o pai	filho de peixe peixinho e
ela merece perdao pelo seu erro	errar e humano
com as moedas que juntou no cofrinho conseguiu comprar um carro zero	de grao em grao a galinha enche o papo
comprou uma impressora mais barata mas deu defeito em dois meses	o barato sai caro
o assunto veio tona nao foi por acaso	onde h fumaca h fogo
ela nao pensa antes de falar e se denuncia a si mesma	o peixe morre pela boca
preciso ter paciencia para vencer	quem espera sempre alcanca
ela afirmou que nunca mais precisaria voltar	nunca diga desta gua nunca beberei
minha namorada esta me evitando embora ela nao confirme sei que ela quer um tempo	para bom entendedor meia palavra basta
finalmente consegui comprar aquele ingresso !	agua mole em pedra dura tanto bate ate que fura .
esqueci de levar o protetor solar mas meu amigo trouxe e me emprestou .	um homem prevenido vale por dois .
o celular era muito bonito na propaganda mas ao vivo era muito ruim .	as aparencias enganam .
como faco para tirar pelos da roupa preta ?	utiliza fita durex e coloca no local onde esta com pelo
o que faco para tirar manchas de gorduras no fundo do copo ?	coloca meia colher de sal dentro do copo e um pouquinho de agua
o que faco para tirar manchas pretas no fundo do copo ?	coloque agua sanitaria e deixe agir por 05 minutos
o que faco para que meus livros nao fiquem mofados e amarelados ?	coloque numa estante arejada
o que faco para secar minhas roupas em tempos chuvosos ?	coloque atras da geladeira
coloque atras da geladeira	ligue o ventilador e coloque proximo a ele
como faco iogurte caseiro natural ?	pegue leite de gado ja fervido coloque num recipiente e acrescente iogurte industrializado . deixe agir por um dia
o que faco com o resto do soro do queijo ?	caso aconteca utilize o soro do queijo como remedio para dor de barriga do seu gado bovino
o ziper da minha bolsa esta travando o que faco ?	utilize o grafite do lapis e passe por toda a extensao do ziper
qual o municipio do interior do estado do ceara que tem pontos turisticos tais como cachoeiras e lugares de lazer ?	baturite guaramiranga aratuba mulungu
qual e o nome do ponto turistico mais conhecido em redencao ?	escadaria alto santa rita e a praca do obelisco
sera que devo ir dormir ?	dependendo do que voce for fazer amanha
dependendo do que voce for fazer amanha	vou trabalhar
vou trabalhar	entao vai
sera que devo fazer algum curso ?	sim sempre e bom ter conhecimento a mais !
sim sempre e bom ter conhecimento a mais !	qual eu devo fazer ?
qual eu devo fazer ?	algo que desperte teu conhecimento algo que te faca feliz .
algo que desperte teu conhecimento algo que te faca feliz .	interessante
interessante	sim
sim	alguma sugestao ?
alguma sugestao ?	curso de ingles ou algo de informatica
curso de ingles ou algo de informatica	algum outro curso ?
algum outro curso ?	curso de paraquedismo
quem foi o trigesimo setimo presidente dos estados unidos ?	richard nixon
em que ano o presidente john f . kennedy foi assassinado ?	1963
a corrida espacial foi uma competicao do seculo 20 na epoca da guerra fria pela supremacia do voo espacial quais eram os dois paises que participaram desta competicao ?	a uniao sovietica e os estados unidos .
qual era o nome do primeiro satelite artificial da terra ?	sputnik 1
um disco giratorio em que a orientacao deste eixo e afetada pela inclinacao ou da rotacao da montagem e conhecido como ?	um giroscopio .
o telescopio espacial hubble lancado em orbita baixa da terra em 1990 foi nomeado em homenagem a que astronomo americano ?	edwin hubble
qual e o nome da grande galaxia mais proxima da via lactea ?	galaxia de andromeda
god save the queen e o hino nacional de qual pais ?	o reino unido da gra bretanha
the shelf celtic o fundo do mar sob o mar celtico e uma parte da plataforma continental de qual continente ?	europa
golfinhos usam um sentido semelhante ao sonar para determinar a localizacao e forma de itens proximos	ecolocalizacao
quem foi steve jobs ?	steven paul jobs foi um inventor empresario e magnata americano no setor da informatica . notabilizou se como co fundador presidente e diretor executivo da apple inc .
quem foi o primeiro homem a pisar na lua ?	neil alden armstrong
quem foi o primeiro presidente do brasil ?	deodoro da fonseca em 1889 .
quem foi a primeira presidente mulher do brasil ?	dilma rousseff de 2011 a 2016 .
quantos estados tem o brasil ?	sao 26 estados mais o distrito federal .
qual foi a primeira capital do brasil ?	salvador de 1549 ate 1763 .
quem iventou o aviao ?	ha fortes relatos de que foi alberto santos dumont porem ha relatos que os irmaos wright que fizeram . foi o voo do 14 bis em paris o primeiro de um aviao na historia da aviacao registrado publicado e sem artificios externos .
ha fortes relatos de que foi alberto santos dumont porem ha relatos que os irmaos wright que fizeram . foi o voo do 14 bis em paris o primeiro de um aviao na historia da aviacao registrado publicado e sem artificios externos .	quem foi o primeiro homem a pisar na lua ?
quem foi o primeiro homem a pisar na lua ?	neil alden armstrong
neil alden armstrong	quando ele fez isso ?
quando ele fez isso ?	neil armstrong pisou na lua em 20 de julho de 1969
